id,obiskali,zelijo
20305,1238,1751
22598,571,1747
16105,581,1748
1556,3107,1742
9048,668,1744
22334,308,1741
2144,1416,1745
2532,1706,1744
21213,458,1741
16240,425,1739
468,572,1731
14506,496,1721
3959,222,1726
7732,1204,1720
15394,364,1722
1852,556,1718
376,496,1720
9098,438,1715
5583,653,1711
3076,217,1715
8113,1229,1714
19012,1425,1708
357,1445,1708
7612,223,1710
15971,218,1708
13237,524,1711
19843,759,1703
7702,439,1699
6246,294,1702
968,294,1696
4126,1807,1698
965,771,1696
4389,278,1696
506,461,1702
2964,93,1693
9744,1475,1695
1151,461,1694
2852,2060,1694
9614,430,1683
5868,336,1691
7546,137,1691
1616,1226,1687
1335,364,1690
3831,479,1685
237,188,1682
3108,509,1683
11363,148,1684
8741,399,1678
309,315,1681
20605,428,1685
6393,859,1676
1434,639,1671
2099,1102,1676
855,431,1672
13130,374,1667
4895,2018,1668
22129,149,1665
625,588,1667
1018,2645,1665
9368,151,1661
11731,235,1668
12297,1079,1662
20596,141,1658
18174,218,1658
4549,364,1656
8455,428,1656
16546,451,1649
12652,458,1652
4349,719,1651
550,1218,1651
6122,167,1644
18698,387,1646
29951,834,1639
5952,420,1642
261,174,1642
1135,472,1639
3857,849,1643
5145,205,1644
11613,386,1642
12294,495,1633
635,1413,1638
10166,713,1640
14428,310,1639
9038,565,1632
154,811,1632
25030,142,1630
1407,750,1635
4843,453,1635
4875,502,1624
300,723,1624
854,1818,1619
10134,850,1616
16979,381,1615
13984,307,1615
2268,848,1618
26031,225,1612
2005,1678,1615
25611,320,1616
12299,421,1606
17145,915,1608
7009,415,1607
11446,281,1608
13118,1418,1607
4535,769,1606
14514,348,1599
20009,147,1603
4440,219,1601
16574,367,1592
1644,1241,1599
6359,458,1594
4750,241,1596
5603,266,1589
13191,709,1589
7922,163,1583
2892,256,1582
16601,251,1585
11791,1319,1581
6410,732,1585
16444,108,1579
1585,390,1579
21051,144,1580
12409,256,1579
11074,501,1590
2930,394,1575
12373,678,1571
2320,1781,1568
4642,86,1566
29792,142,1561
330,156,1562
198,2319,1568
9248,429,1564
28713,594,1566
23893,682,1560
20774,1878,1557
13201,486,1562
6178,548,1557
459,2074,1552
11572,600,1555
2090,287,1554
369,60,1549
10490,221,1548
17959,721,1548
4457,1543,1552
12526,60,1539
8598,699,1543
12712,176,1541
2883,106,1539
5632,804,1534
4224,546,1535
19163,193,1535
3609,1435,1533
553,1127,1544
6584,754,1526
16307,221,1525
12847,429,1529
9558,703,1525
1215,393,1522
11938,311,1529
4337,333,1517
4474,1065,1521
3075,165,1522
12025,406,1520
4763,332,1523
422,404,1518
4726,148,1511
5488,243,1517
1035,123,1506
186,567,1506
35886,154,1519
515,643,1500
17544,520,1500
16361,635,1501
13512,173,1495
1513,158,1499
1995,2251,1495
7360,1361,1491
25182,201,1498
20968,159,1491
9653,194,1490
2699,1000,1493
1432,1402,1486
19643,479,1490
20209,945,1486
4810,212,1480
2168,374,1489
7771,103,1481
1574,778,1483
5776,816,1477
19343,131,1481
6784,3772,1479
11292,168,1475
23513,291,1475
4767,408,1477
9497,162,1476
5155,93,1471
8556,295,1470
25010,444,1473
359,1023,1464
4316,210,1470
6772,771,1467
21412,116,1468
12965,331,1462
13379,803,1461
9360,286,1460
9221,201,1458
937,756,1461
9067,727,1459
10809,162,1461
24735,157,1461
11729,280,1461
12696,2054,1454
7670,324,1455
7284,401,1453
5136,701,1458
11566,504,1455
14400,903,1449
5568,119,1448
8314,386,1451
3593,156,1442
311,2515,1443
17432,231,1439
4541,901,1441
17838,599,1433
8846,274,1439
4124,2969,1430
220,619,1431
3012,148,1429
21976,266,1432
13838,265,1433
8122,497,1433
2325,371,1433
14766,715,1429
5513,2239,1425
1397,446,1426
31139,248,1423
20170,164,1422
174,775,1426
807,4322,1418
19361,352,1424
14764,335,1417
4435,297,1421
11550,502,1414
1982,277,1421
751,589,1412
744,715,1410
16217,275,1415
6895,251,1411
9096,307,1408
13247,1399,1408
15408,3529,1408
26018,380,1405
641,250,1403
18679,385,1407
9302,179,1404
17654,768,1403
9494,359,1400
4270,466,1401
7740,142,1395
1330,499,1403
4127,1252,1398
969,609,1397
3225,369,1394
2607,138,1393
756,339,1394
32443,248,1389
13974,392,1396
12055,209,1391
1295,500,1386
168,577,1388
8548,326,1385
4092,252,1388
8100,248,1382
5850,256,1386
21832,168,1386
13655,340,1379
11272,256,1395
6088,613,1386
674,795,1380
16615,444,1380
12261,128,1383
4353,117,1373
24419,347,1378
13013,161,1376
6185,411,1376
1998,284,1378
25918,609,1380
21485,212,1377
5353,266,1375
9137,560,1370
5364,872,1376
15372,167,1375
19783,289,1377
13816,901,1371
2502,1754,1372
6269,54,1369
5491,288,1370
1254,311,1369
18637,2228,1369
10295,249,1375
8339,619,1374
2403,2182,1372
32611,478,1365
13148,475,1368
3430,139,1364
3602,233,1359
18643,86,1358
13186,323,1356
8080,628,1361
7810,320,1357
3109,785,1359
5457,255,1358
17126,3201,1357
22113,1673,1359
5508,646,1351
11976,1108,1352
13450,535,1350
8428,530,1357
4445,1004,1347
2578,381,1354
19752,209,1349
18613,101,1353
15317,716,1347
1325,260,1348
20274,97,1346
26466,102,1345
16498,189,1348
4849,479,1347
12008,476,1345
4850,385,1350
3644,358,1341
18241,179,1343
20758,253,1346
17891,625,1339
17961,145,1337
1743,654,1339
4109,97,1336
2876,453,1340
20390,114,1334
17167,1568,1331
1710,553,1335
27216,119,1334
20327,1112,1341
1778,705,1337
3901,366,1331
5813,721,1332
25515,197,1325
14090,350,1328
11392,703,1327
193,192,1326
7644,220,1326
1303,480,1322
14765,324,1324
10663,588,1324
8367,789,1318
10035,479,1318
9372,414,1320
4350,308,1322
13411,308,1314
1087,345,1316
19146,882,1317
8995,407,1318
5227,761,1312
23763,201,1313
4653,517,1313
11124,1029,1315
8576,309,1314
8118,509,1309
288,614,1309
196,569,1311
1289,374,1309
1084,624,1310
11027,120,1314
1885,1229,1310
1445,770,1312
1305,761,1313
7207,766,1303
11173,514,1305
873,2025,1306
4425,2925,1300
15045,489,1302
10073,134,1299
9016,290,1304
28422,317,1309
24022,128,1300
14256,259,1295
9408,298,1298
15132,319,1297
35279,142,1309
13926,224,1290
3838,976,1293
1226,278,1289
4292,67,1284
2802,251,1287
10106,977,1291
2450,214,1284
1459,816,1282
662,2740,1287
1448,585,1281
15080,1484,1281
8640,48,1282
7163,237,1277
6338,757,1279
12945,407,1271
29074,436,1274
25655,144,1276
14419,351,1271
338,117,1272
17513,585,1273
16878,522,1273
8979,378,1268
9002,127,1268
14772,1469,1272
1457,317,1265
8650,189,1260
8470,209,1259
1672,528,1266
14689,449,1263
13177,474,1258
9620,216,1262
4814,84,1259
2790,917,1258
4899,626,1261
1346,507,1263
24038,255,1260
25750,346,1256
11285,91,1256
9264,240,1257
6226,650,1258
2649,692,1256
11624,743,1252
511,186,1254
18965,507,1253
16427,534,1248
4156,312,1253
15410,955,1253
22001,357,1248
10538,506,1248
4375,94,1248
10060,182,1253
19171,197,1249
15914,678,1246
27454,264,1247
13291,1203,1251
29378,114,1259
18542,394,1252
2740,862,1246
21585,151,1243
17915,219,1249
16711,157,1243
11193,1179,1238
2818,693,1246
2264,1268,1239
4687,610,1239
20726,434,1240
14149,118,1240
8809,57,1238
12284,1028,1237
26962,776,1240
15004,3307,1236
10449,505,1239
7927,377,1240
3033,228,1234
15621,328,1236
6822,198,1240
1716,185,1234
13382,489,1230
6747,1200,1233
1081,144,1230
12737,667,1228
2882,147,1228
2054,161,1230
153,242,1226
4840,258,1227
1318,308,1225
12054,179,1229
363,159,1227
14969,480,1226
1567,210,1225
2644,40,1222
5187,110,1226
15205,591,1226
5828,580,1226
2686,136,1224
11881,951,1221
